# Applies the winners together
id,net,hidden,output,init,opt,loss,batch,eta,lambda,alpha,beta1

# --- Adam: Init x Eta -------------------------------------------------------
0,128-128-128-128-128,relu,linear,he,adam,mse,0,0.003,1e-3,0.0,0.9
1,128-128-128-128-128,relu,linear,he,adam,mse,0,0.01,1e-3,0.0,0.9
2,128-128-128-128-128,relu,linear,he,adam,mse,0,0.03,1e-3,0.0,0.9
3,128-128-128-128-128,relu,linear,lecun,adam,mse,0,0.003,1e-3,0.0,0.9
4,128-128-128-128-128,relu,linear,lecun,adam,mse,0,0.01,1e-3,0.0,0.9
5,128-128-128-128-128,relu,linear,lecun,adam,mse,0,0.03,1e-3,0.0,0.9

# --- SGD: Init x Eta --------------------------------------------------------
6,128-128-128-128-128,relu,linear,he,sgd,mse,0,0.2,1e-3,0.9,0.9
7,128-128-128-128-128,relu,linear,he,sgd,mse,0,0.3,1e-3,0.9,0.9
8,128-128-128-128-128,relu,linear,lecun,sgd,mse,0,0.2,1e-3,0.9,0.9
9,128-128-128-128-128,relu,linear,lecun,sgd,mse,0,0.3,1e-3,0.9,0.9
