# =============================================================================
# XOR, one-hot encoded target -- 2 inputs, 2 outputs.
# =============================================================================
id,net,hidden,output,init,opt,loss,norm,batch,eta,lambda,dropout,alpha,beta

# --- A. Hidden activation ---------------------------------------------------
0,8,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
1,8,relu,softmax,he,adam,cce,minmax,0,0.01,0,0,0.9,0.999
2,8,sigmoid,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
3,8,linear,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999

# --- B. Capacity ------------------------------------------------------------
4,2,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
5,4,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
6,8,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
7,4,relu,softmax,he,adam,cce,minmax,0,0.01,0,0,0.9,0.999

# --- C. Optimizer -----------------------------------------------------------
8,8,tanh,softmax,glorot,sgd,cce,minmax,0,0.1,0,0,0.9
9,8,tanh,softmax,glorot,sgd,cce,minmax,0,0.5,0,0,0.9
10,8,tanh,softmax,glorot,rmsprop,cce,minmax,0,0.01,0,0,0.9
11,8,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999

# --- D. Output/Loss ---------------------------------------------------------
12,8,tanh,softmax,glorot,adam,cce,minmax,0,0.01,0,0,0.9,0.999
13,8,tanh,sigmoid,glorot,adam,bce,minmax,0,0.01,0,0,0.9,0.999
