# ==============================================================================================
# MONK-3 -- binary target, 17 one-hot inputs, 1 output. 122 train / 432 test [NO REGULARIZATION]
# ==============================================================================================
id,net,hidden,output,init,opt,loss,batch,eta,lambda,alpha,beta1
0,2,tanh,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
1,3,tanh,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
2,4,tanh,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
3,8,tanh,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
4,4,tanh,sigmoid,glorot,sgd,bce,0,0.075,0,0.85,0.9
5,4,tanh,sigmoid,glorot,sgd,bce,0,0.15,0,0.85,0.9
6,4,tanh,sigmoid,glorot,sgd,bce,0,0.3,0,0.85,0.9
7,4,tanh,sigmoid,glorot,sgd,bce,0,0.1,0,0.95,0.9
8,4,tanh,sigmoid,glorot,sgd,bce,0,0.5,0,0.0,0.9
9,4,sigmoid,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
10,4,relu,sigmoid,glorot,sgd,bce,0,0.5,0,0.85,0.9
11,4,tanh,sigmoid,glorot,sgd,mse,0,0.5,0,0.85,0.9
12,8,tanh,sigmoid,glorot,sgd,mse,0,0.5,0,0.85,0.9
13,4,tanh,sigmoid,lecun,sgd,bce,0,0.5,0,0.85,0.9
14,4,tanh,sigmoid,he,sgd,bce,0,0.5,0,0.85,0.9
15,4,tanh,sigmoid,random,sgd,bce,0,0.5,0,0.85,0.9
