# =============================================================================
# XOR -- 2 inputs, 1 output
# =============================================================================
id,net,hidden,output,init,opt,loss,batch,eta,lambda,alpha,beta1

# --- A. Hidden activation ---------------------------------------------------
0,8,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
1,8,relu,sigmoid,he,adam,mse,0,0.01,0,0.0,0.9
2,8,sigmoid,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
3,8,linear,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9

# --- B. Capacity ------------------------------------------------------------
4,2,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
5,4,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
6,8,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
7,4,relu,sigmoid,he,adam,mse,0,0.01,0,0.0,0.9

# --- C. Optimizer -----------------------------------------------------------
8,8,tanh,sigmoid,glorot,sgd,mse,0,0.1,0,0.9,0.9
9,8,tanh,sigmoid,glorot,sgd,mse,0,0.5,0,0.9,0.9
10,8,tanh,sigmoid,glorot,rmsprop,mse,0,0.01,0,0.9,0.9
11,8,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9

# --- D. Output activation ---------------------------------------------------
12,8,tanh,sigmoid,glorot,adam,mse,0,0.01,0,0.0,0.9
13,8,tanh,linear,glorot,adam,mse,0,0.01,0,0.0,0.9
